features,class
"[-294.2006      144.69022     -25.707533     42.329094     20.147305
    7.623982    -22.166243      1.7470925   -18.72914       8.474145
   -7.925909      1.4341325    -2.3785336    -0.72531307   -8.267127
    7.176124     -4.848322     -1.4937538    -4.4756618     1.8139492
   -5.335569     -1.5731775    -4.8246555    -9.580639     -0.5909834
   -5.545262     -3.8182547    -9.109264     -6.3657928   -13.518861
   -6.8537083    -3.4988458    -8.017643     -2.8579674    -3.8487406
   -4.058937     -5.079508     -2.816048     -3.5033157    -3.3965762 ]",Arjun
"[-2.9777814e+02  1.4898180e+02 -3.0802576e+01  4.4998459e+01
  2.8613148e+01  2.1626971e+00 -1.7970055e+01 -7.6101404e-01
 -1.7204065e+01  7.1439133e+00 -1.3757359e+01  1.6988494e+00
  1.2500619e+00 -4.8295364e+00 -1.0817283e+01  1.2146448e+01
 -2.0076349e+00 -2.5035858e+00 -1.3188740e+00  3.8361223e+00
 -5.2770963e+00 -3.6448476e+00 -4.0432467e+00 -9.8113289e+00
  1.9807827e+00 -9.2982206e+00 -3.0837145e+00 -6.8484559e+00
 -8.4702101e+00 -1.3031124e+01 -2.8028474e+00 -2.2584882e+00
 -6.0601001e+00  2.6493266e-01 -3.3566964e+00 -2.1795101e+00
 -2.6690600e+00 -9.1717273e-02 -1.5706784e+00 -2.8976042e+00]",Arjun
"[-3.3583313e+02  1.5624567e+02 -2.3017839e+01  2.0425249e+01
  1.4562634e+00  7.4544010e+00 -1.0208141e+01  1.2148162e+01
 -4.3248210e+00  8.2970247e+00 -1.0229718e-01  5.7290182e+00
 -1.6749525e-01  8.7058961e-01 -6.2304306e+00 -1.2053531e-01
 -2.3237627e+00  1.4563206e-01 -1.0431991e+00  5.3398204e+00
 -4.4647064e+00 -2.2607422e+00 -5.2494049e+00 -6.2197742e+00
 -1.6267647e+00 -4.9272633e+00 -3.1026468e+00 -6.6745467e+00
 -6.1050520e+00 -9.9850721e+00 -3.7807672e+00 -1.1110226e+00
 -4.5242038e+00 -2.3706801e+00 -3.1688330e+00 -3.5792472e+00
 -2.6443107e+00  1.6115105e-01  9.5576787e-01  1.6589342e-01]",Arjun
"[-3.4761038e+02  1.5693451e+02 -1.8477272e+01  3.6879642e+01
  1.5290565e+01  1.0625658e+01 -1.3804911e+01 -3.5293334e+00
 -1.0921715e+01  9.3753328e+00 -1.1776206e+01  8.5992587e-01
 -3.6767120e+00 -5.0232220e+00 -4.9157758e+00  1.1006494e+01
 -1.5618919e+00  6.0946393e-01 -9.2233086e-01  1.8100976e+00
 -5.8134642e+00 -3.0451150e+00 -4.9736471e+00 -6.1208630e+00
 -9.3108964e-01 -3.8730760e+00 -2.1337301e-01 -5.2502384e+00
 -6.5678711e+00 -9.6530294e+00 -1.9446744e+00 -1.7703483e+00
 -4.0075574e+00 -2.8030076e+00 -2.8043528e+00 -3.6760397e+00
 -2.5189619e+00 -7.4099153e-01 -3.2030541e-01 -1.8113518e+00]",Arjun
"[-2.57605103e+02  1.13291718e+02 -2.42231998e+01  4.34186134e+01
  1.07284689e+01  1.57396755e+01 -2.78550949e+01 -4.88814227e-02
 -1.92363338e+01  1.52520847e+01  8.73083472e-01  1.36379361e+00
 -4.99340296e+00  3.84159184e+00 -5.95131731e+00  1.11456432e+01
 -1.11089163e+01  1.92933381e+00 -3.74666119e+00 -1.36783493e+00
 -3.67656636e+00 -1.42015123e+00 -1.02243109e+01 -8.97928810e+00
 -2.65215063e+00 -4.93722725e+00 -6.44657707e+00 -9.75176430e+00
 -5.14025164e+00 -1.43382454e+01 -7.30652428e+00  9.01843607e-02
 -4.27568626e+00 -1.99422407e+00 -1.14581335e+00 -3.35150433e+00
 -4.21244240e+00  8.18507791e-01 -4.60119772e+00 -3.70297837e+00]",Arjun
"[-280.97403     129.22017     -18.711946     32.978348     -2.239554
    5.5593047   -27.979317     18.317223    -15.381188     14.720338
    2.941687      9.522925     -3.0243607     2.8698456    -8.125718
    1.2416198    -8.120025      7.040929     -1.4476695     0.54321647
  -13.203994     -0.84998983   -1.6662865    -2.9295502    -3.0779214
   -1.4771549    -2.552969     -1.743134     -3.2551813    -5.7693553
   -7.175422     -0.47838393   -3.8190324    -1.6580876    -2.7668424
   -2.786356     -1.0078448    -3.397917      1.0688051     0.40703523]",Arjun
"[-2.9051062e+02  1.3786375e+02 -3.1282499e+01  5.0302391e+01
  2.6326061e+01  3.2134752e+00 -1.9687229e+01 -3.9270437e-01
 -1.8049372e+01  8.9296951e+00 -1.3971119e+01 -6.6126788e-01
  5.2432269e-01 -4.6989522e+00 -8.4156132e+00  1.2174653e+01
 -5.1260777e+00 -3.3118608e+00 -3.5637114e+00  7.3920257e-02
 -4.3892651e+00 -2.7834656e+00 -6.9998302e+00 -9.8893738e+00
 -4.7204658e-01 -8.5036039e+00 -6.6666560e+00 -9.1488514e+00
 -7.5459399e+00 -1.1835595e+01 -6.7564855e+00 -6.9215798e-01
 -6.0530124e+00 -3.8336751e+00 -3.8740804e+00 -4.1423168e+00
 -4.2965732e+00 -1.2312157e+00 -2.1886022e+00 -2.3444369e+00]",Arjun
"[-3.2071286e+02  1.3840314e+02 -2.4679380e+01  3.7078823e+01
  2.6062593e+01  8.2905893e+00 -1.2083792e+01 -7.4199400e+00
 -7.7620397e+00  9.2438707e+00 -7.4330673e+00 -3.2218316e+00
 -2.9406204e+00 -1.7038659e+00 -2.2418871e+00  4.6889796e+00
 -2.8993742e+00  1.0142295e+00 -1.6395309e+00  6.7212123e-01
 -1.0300394e+00 -2.5689051e+00 -5.4770770e+00 -5.8365064e+00
 -2.8253446e+00 -6.8915477e+00 -4.7492127e+00 -6.9785323e+00
 -6.3597994e+00 -1.0830173e+01 -2.5763185e+00 -2.1981013e+00
 -5.0150280e+00 -1.8830535e+00 -1.4909130e+00 -2.6845217e+00
 -3.0019388e+00  3.0091009e-01 -4.1539973e-01 -1.6914805e+00]",Arjun
"[-292.4433     153.0202     -29.594164    33.560226     9.983484
   -1.6995018  -10.74032      5.650877   -21.024557    10.566753
   -3.2026803    0.4022749    5.6776123    2.2213976   -7.1605086
    5.556638    -7.502859    -2.179577     1.3576181    1.4078583
   -5.7021747   -3.1504922   -7.2864685   -9.330511    -2.1603239
   -6.0883164   -4.6124434   -6.1628337   -6.206403   -11.865027
   -5.1328425   -4.6688533   -4.4418      -1.1390479   -4.1767073
   -4.34946     -3.3385193   -4.130833    -2.721832    -3.153507 ]",Arjun
"[-3.2814120e+02  1.5985786e+02 -1.5397828e+01  2.3102385e+01
 -2.5987275e+00 -1.1538916e+00 -5.4883895e+00  6.3881836e+00
 -1.3681867e+01  7.1077657e+00 -2.4406767e+00  3.7723494e+00
  5.3225455e+00  4.8554454e+00 -4.7421603e+00  6.8435669e+00
 -5.2883148e+00 -4.0885820e+00 -9.4705876e-03  1.4003414e+00
 -2.7857296e+00 -1.4124558e+00 -6.3076386e+00 -7.7169266e+00
 -1.8161407e+00 -1.0157030e+00 -3.1452825e+00 -5.7467527e+00
 -6.1357574e+00 -1.3628775e+01 -3.3141119e+00 -2.4678562e+00
 -7.2342958e+00 -3.6628525e+00 -5.3691530e+00 -3.0960314e+00
 -3.3045580e+00  1.4282761e+00  4.3739486e-02 -1.5955418e+00]",Arjun
