features,class
"[-3.7820398e+02  1.3554359e+02 -9.7160469e+01  6.4475861e+01
 -4.0299709e+01  4.6483089e+01 -3.9665604e+01  9.2385664e+00
 -1.0352606e+01 -1.2761709e+01  2.0021582e+00 -2.0415579e+01
  6.9030457e+00 -2.5005213e+01  1.8961009e+00 -2.1159170e+01
 -6.1405468e+00 -1.1207188e+01 -1.1145604e+01 -4.9892464e+00
 -1.6016806e+01 -1.4187273e+00 -1.4682377e+01 -3.2216367e-01
 -1.0641344e+01 -2.3867171e+00 -4.8662000e+00 -5.4839582e+00
 -2.5755470e+00 -6.7317448e+00 -6.6923696e-01 -9.8273582e+00
 -5.1364309e-01 -6.6775846e+00 -4.2439933e+00 -6.0625229e+00
 -3.5401556e+00 -3.3395524e+00 -4.8419681e+00 -3.2907060e-01]",Jens_Stoltenberg
"[-224.96234      82.93592     -59.35951      69.32822     -32.24334
   31.847588    -30.557037     -9.916504    -12.883042    -19.253908
   -0.59212595  -15.781536     -2.3162289   -20.557764      1.281128
  -16.163809    -13.362323     -9.403649     -9.095593     -8.005558
  -11.731649      0.2912306   -14.760105     -3.4889872    -9.410145
   -8.180099     -6.9831557   -10.136112     -4.3954134    -6.8839464
   -0.9744478    -3.6947594     0.36252934   -3.7809217    -2.5140586
    0.3314495     5.917021      7.835699      2.5992923     3.7415888 ]",Jens_Stoltenberg
"[-198.80576     95.012375   -66.0797      63.677547   -25.931866
   26.141022   -13.05034     -4.6377826  -21.438732   -14.714909
   -0.2797489  -16.864723     1.72919    -25.372234    -1.7465997
  -13.554852   -15.895425    -9.520727   -13.098853    -8.478278
  -11.664834    -1.8988439  -14.914639    -6.0829196   -7.1815915
   -6.8402925   -6.52495     -6.852494    -4.619057   -12.255906
   -5.0284667   -7.4630127   -1.1200149   -2.0313337   -0.7459694
    5.5383205    7.9953628   12.229657     9.055294     5.79885  ]",Jens_Stoltenberg
"[-224.45381     141.06212     -62.722073     55.42531     -25.880877
    1.0700523    -9.819336     -8.958987    -19.480944    -13.733167
   -1.9512169    -9.838421      2.4937885   -22.482298     -1.5189503
  -10.969236    -15.653642     -8.574002    -15.440088     -7.9616656
  -14.175164     -2.9106452    -7.4044175    -5.3066993    -5.33923
   -6.477471     -5.641505    -10.973295     -4.699284     -9.374772
   -6.289745     -7.6192794    -6.4791865    -5.3838677    -7.6697145
   -4.6634097    -7.178679     -4.982341     -3.9113932     0.74441665]",Jens_Stoltenberg
"[-178.72624     128.22414     -74.005        68.3671      -33.899403
   11.371233    -11.784771     -7.5622835   -11.785684    -20.829285
   -6.5811615   -13.172337     -5.0097265   -23.268116     -0.21035805
  -16.182768    -20.111958     -9.966977     -7.550741     -7.190935
  -13.017804      1.9299728   -12.661219     -8.271493     -7.9686236
   -4.992989     -3.5793638    -9.973074     -3.91529     -10.236146
   -5.829071     -7.7304606    -4.390706     -4.548695     -6.786936
   -4.7444644    -3.3792589     0.9581995    -1.6356548     2.291669  ]",Jens_Stoltenberg
"[-2.4840338e+02  1.5390808e+02 -3.9514042e+01  5.4821289e+01
 -3.1876965e+01 -8.8363333e+00 -6.9802489e+00 -3.0266509e+00
 -1.4255117e+01 -2.1525393e+01 -1.9946966e-01 -1.1824664e+01
 -1.2760361e+01 -1.2492203e+01 -6.1157956e+00 -1.9646715e+01
 -6.3894725e+00 -1.0776047e+01 -1.3538510e+01 -2.3062155e+00
 -1.4340009e+01 -2.7692704e+00 -1.0898335e+01 -5.7004900e+00
 -3.5077868e+00 -5.9204698e+00 -2.5051603e+00 -1.1684737e+01
 -1.0731293e+00 -4.2629690e+00 -8.0072927e+00 -5.2509441e+00
 -3.8322976e+00 -6.9444370e+00 -8.3061924e+00 -2.7173762e+00
 -5.2853475e+00 -4.6749859e+00 -4.7162542e+00 -1.6478245e+00]",Jens_Stoltenberg
"[-169.91556     151.59554     -62.684372     55.63987     -35.823013
    5.6410437   -10.297551     -3.2596083    -9.818915    -27.001768
    3.1849754    -3.8781397    -5.305834    -18.087425     -9.73808
  -13.236068    -11.379601    -18.360312    -12.607107     -7.2121067
  -18.441628      3.6503403    -8.326251    -10.004217     -1.7234006
   -4.780016     -4.4900146    -8.896135     -5.3593087    -8.740787
  -11.021537     -9.797793     -4.8239894    -8.512974     -5.366852
    0.50938964   -2.035013      0.2622183    -3.804611     -1.571844  ]",Jens_Stoltenberg
"[-299.7666       90.85376     -31.862745     50.04545     -13.996319
   22.912188    -20.030544     -5.834953    -10.172282     -6.386999
    4.047283    -12.991369      2.755921    -18.944895      1.5036198
   -7.409241    -17.33007     -13.301307    -13.90654      -8.94508
  -14.888025      0.77418154   -9.352721     -7.3188405    -2.978972
   -4.8112774    -2.2691374    -6.932964     -5.4834833    -7.988887
   -4.234632     -6.554077     -3.572963     -4.630836     -5.9001155
   -1.4352186    -4.11497      -4.0065036    -5.3805647    -2.1705928 ]",Jens_Stoltenberg
"[-220.25069     130.2089      -23.517855     65.691956    -19.74441
   12.488498    -13.092862     -5.5784917   -12.441763    -24.587486
   -6.1616817   -14.134713     -5.568472    -19.641918     -6.729291
  -14.76292      -9.0344305    -3.6729383   -11.43389      -8.464733
  -14.628608     -1.3460412   -12.727334     -5.9656787    -3.597993
   -8.239319     -0.71251845  -10.513397     -2.4097574    -4.3743076
   -7.648354     -4.3292656    -5.0621595    -4.8738294    -6.768738
   -5.0052357    -4.527936     -3.4973047    -2.9326289    -1.7642288 ]",Jens_Stoltenberg
"[-376.90497     105.82102     -52.602234     76.901054    -30.929083
   38.151924    -24.340307      1.7739116    -3.9873579   -10.314215
    0.39719468  -21.029709      1.784578    -15.494231      2.6817083
  -16.322584     -4.545505    -11.230644    -12.869526     -3.54338
  -19.889078     -3.3257582   -12.414097     -1.5298228    -7.0813503
   -5.7216325    -1.8894191    -5.0804124    -3.0960257   -11.065593
   -3.2948074    -4.7687426    -2.0626137    -7.710809     -5.342693
   -4.6364408    -3.7934465    -0.6762262    -4.809904      0.7428432 ]",Jens_Stoltenberg
"[-164.19162     100.22686     -48.60153      79.90001     -11.239686
   16.014742    -24.114923     -0.41932744  -15.482645    -17.899237
   -4.9941435   -23.965631      1.0235721   -21.199436     -5.053428
  -11.056464     -9.45044      -8.745048    -11.114053     -3.0150352
  -13.834055     -3.5871496   -12.209179     -4.6878734    -8.304786
   -8.279522     -4.2099667    -8.9665575    -1.8296162    -7.70853
   -0.8720564    -1.1895542    -1.1463286    -1.1875955    -2.3308804
    0.7317635    -1.3792351     1.5341771     3.1775534     6.2100377 ]",Jens_Stoltenberg
"[-1.8662680e+02  1.1546350e+02 -3.9063774e+01  6.5565544e+01
 -3.5076511e+01  1.7855080e+01 -1.0972793e+01 -6.6716814e+00
 -1.4596096e+01 -1.6124817e+01 -4.4900250e+00 -1.7977573e+01
  1.0149318e+00 -2.3839222e+01 -7.7669539e+00 -1.5602141e+01
 -1.8819998e+01 -1.0372433e+01 -1.4650196e+01 -8.7444830e+00
 -9.8020363e+00  2.3855710e-01 -1.0676019e+01 -5.6624722e+00
 -5.7265620e+00 -1.0594560e+01 -5.5937629e+00 -7.4978929e+00
 -5.8302746e+00 -9.7697210e+00 -9.0757856e+00 -8.3447247e+00
 -4.6498585e+00 -2.8115194e+00 -6.0722309e-01  9.3911368e-01
 -4.2618937e+00 -3.9535851e+00 -1.8586941e-01 -4.4998016e-02]",Jens_Stoltenberg
"[-226.09608      98.73654     -34.89777      79.00976      -7.1762385
   19.62043     -12.975088     -2.3603575   -15.948722    -18.169256
   -9.292508    -18.798779     -5.665993    -23.859098      0.36841914
  -15.305782    -18.275705     -9.727943     -9.107754     -6.1812654
  -12.527679     -3.3517046   -10.214761     -2.334328     -9.025739
   -7.405992     -3.2922072    -6.157028     -2.2837427    -7.2313952
   -6.6081295    -9.880047     -4.0959506    -8.210555     -6.3536
   -4.1275396    -7.9540486    -3.5802374    -4.2161107    -2.201467  ]",Jens_Stoltenberg
"[-3.36941986e+02  8.97334290e+01 -1.08564281e+01  6.24176483e+01
 -2.75107250e+01  2.54997540e+01 -5.51175451e+00  3.37600499e-01
 -1.13644826e+00 -1.27258081e+01 -1.00370522e+01 -1.33364868e+01
  1.35773849e+00 -1.74294128e+01 -5.02096939e+00 -1.50421782e+01
 -1.19452047e+01 -1.28494759e+01 -1.38217859e+01 -6.63755465e+00
 -1.39621725e+01 -3.62024236e+00 -9.03764057e+00 -4.76698351e+00
 -4.78532839e+00 -5.26925230e+00 -6.98877001e+00 -6.50998402e+00
 -2.28518510e+00 -8.87943745e+00 -5.52568245e+00 -5.56906462e+00
 -5.38134432e+00 -6.91213512e+00 -4.32916307e+00 -2.68132544e+00
 -3.31864452e+00 -2.90778136e+00 -3.02755880e+00  1.60565317e-01]",Jens_Stoltenberg
"[-251.43861     96.89632    -64.81257     57.106003   -12.207168
   15.332529    -8.880868    -6.5234833   -8.255273   -10.220164
   -4.2950726  -18.460249    -2.3505821  -20.055084    -1.1280774
  -10.912937   -19.630505    -4.8847103  -14.864685   -10.770173
   -7.737868    -1.9706386   -8.420767    -7.172405    -5.823151
   -6.3325653   -5.28846     -5.1315637    0.9613628   -2.6956522
   -1.6882908   -3.9079607   -5.1449065   -6.283984    -4.2724576
   -1.6434257   -4.762684    -1.5529305    1.4032698    4.9604397]",Jens_Stoltenberg
"[-2.0558766e+02  8.5290398e+01 -5.9862045e+01  7.2996552e+01
 -3.3115963e+01  1.5610034e+01 -1.2257507e+01 -6.1389012e+00
 -1.6438110e+01 -1.4702537e+01 -9.7461529e+00 -2.0380852e+01
 -5.4700983e-01 -2.0470242e+01  3.6871858e+00 -1.1818923e+01
 -9.8434019e+00 -6.7827716e+00 -1.4793801e+01 -1.2114136e+01
 -1.5873585e+01 -3.5130448e+00 -1.4506443e+01 -6.6206312e+00
 -9.0052671e+00 -5.9299045e+00 -1.7122703e+00 -4.9543886e+00
 -2.6146021e+00 -4.5448403e+00  3.2434752e+00 -1.7500931e+00
 -8.1660777e-02 -2.7127225e+00 -3.8682921e+00  5.0911382e-02
  2.4565809e+00  5.5463800e+00  5.6955285e+00  4.7075043e+00]",Jens_Stoltenberg
"[-2.15589600e+02  1.09882393e+02 -5.39186249e+01  6.94761658e+01
 -4.64793701e+01  2.06288586e+01 -1.32861023e+01  1.24491680e+00
 -1.13464441e+01 -8.62481403e+00 -5.73939562e+00 -2.07556782e+01
  1.09865379e+01 -2.11067772e+01  2.86595726e+00 -9.86901760e+00
 -1.52109375e+01 -9.39266682e+00 -1.07559080e+01 -5.19856691e+00
 -1.58075905e+01 -3.22946525e+00 -9.85038376e+00 -4.99201250e+00
 -7.81105757e+00 -4.30341148e+00 -5.17606783e+00 -8.41557121e+00
 -2.49179482e+00 -6.81646395e+00 -3.35711956e+00 -7.82812452e+00
 -5.51856995e+00 -7.15110445e+00 -6.60657310e+00 -5.99407816e+00
 -4.12453413e+00 -2.40906119e+00 -2.70417213e+00  7.10353255e-02]",Jens_Stoltenberg
"[-300.04373     86.93983    -41.900524    79.36975     -4.2289963
    9.047545    -7.523013    -0.9062313   -5.2723727  -16.561108
  -12.946534   -17.322357    -2.5197518  -20.240108    -6.493414
  -12.389182   -12.6698675   -4.511331   -10.97023     -4.7389507
   -7.626698    -5.4642315  -11.073261    -6.370788    -9.047349
  -11.281944    -6.878375    -8.323423    -5.648047    -9.664108
   -5.6297016   -6.562218    -6.509529    -1.7697433   -0.7689701
   -2.0076857   -3.6714416   -1.3714722   -1.6717896    1.192966 ]",Jens_Stoltenberg
"[-2.41854309e+02  1.00275635e+02  6.82039320e-01  5.64113731e+01
 -3.08278389e+01  3.26631570e+00 -1.95706043e+01  4.60856467e-01
 -1.86059952e+01 -9.38389683e+00  1.43781650e+00 -1.89931679e+01
 -1.63065791e+00 -1.87944851e+01 -4.74234962e+00 -1.66258926e+01
 -8.59432507e+00 -8.38283539e+00 -1.47875099e+01 -4.55152512e+00
 -1.36702938e+01 -8.33456039e+00 -1.46076927e+01 -5.80314398e+00
 -7.95277071e+00 -1.29321623e+00  3.27316451e+00 -4.00819927e-02
  3.33253884e+00 -8.21619797e+00  4.89551425e-01 -1.54456723e+00
 -4.03033400e+00 -3.62033933e-01 -4.25995439e-01 -3.27800226e+00
 -6.17142057e+00 -3.45447332e-01 -2.18976951e+00 -3.03935790e+00]",Jens_Stoltenberg
"[-296.14737     62.093807   -30.406862    68.870445   -44.180237
   31.000374   -15.939666     4.225014    -7.0274816   -7.8861165
   -5.1766467  -14.3106575    7.3418317  -20.320665     3.51004
  -15.948657    -8.642429    -7.6475477  -12.89616     -6.667369
  -14.1988945   -4.04796    -10.717162    -5.173943    -8.965856
   -2.214108    -8.568671    -8.159067    -1.5396668   -6.834763
   -3.594638    -7.10379     -3.6608803   -5.9191175   -2.808683
   -5.6386867   -3.5237327   -1.4200222   -0.5808837    5.6565285]",Jens_Stoltenberg
"[-2.6954330e+02  8.5348900e+01 -3.5329693e+01  6.8391991e+01
 -1.3232010e+01  9.5542183e+00 -1.0832769e+01 -3.7451339e+00
 -2.3652494e+00 -1.2118796e+01 -1.0471489e+01 -1.1940220e+01
 -5.7874136e+00 -1.6071255e+01 -2.7567391e+00 -1.9233915e+01
 -1.1258218e+01 -7.4007339e+00 -1.1477912e+01 -6.3226242e+00
 -1.1544994e+01 -3.7057562e+00 -1.2047604e+01 -7.0365863e+00
 -5.4608316e+00 -6.1499157e+00 -6.7466159e+00 -9.0675735e+00
 -5.6454468e+00 -1.0194367e+01 -6.6645918e+00 -5.3051677e+00
 -6.0460925e+00 -6.4177504e+00 -3.5593035e+00 -5.3298008e-01
 -3.6818113e-02  7.0969135e-01  1.7995895e+00  6.7521417e-01]",Jens_Stoltenberg
"[-2.75540771e+02  8.85854950e+01 -3.44286842e+01  7.48993454e+01
 -8.90102673e+00  2.55877495e+01 -2.84481373e+01 -4.72470427e+00
 -1.67448139e+01 -1.67892418e+01 -3.91951752e+00 -2.32092648e+01
 -8.78591090e-02 -1.72725430e+01  1.17297578e+00 -9.23493576e+00
 -1.10511465e+01 -1.14699945e+01 -1.05970860e+01 -5.20431089e+00
 -1.72686710e+01 -6.61986113e+00 -1.17115841e+01 -4.19338417e+00
 -7.55704212e+00 -5.26815224e+00 -1.63753235e+00 -6.44280577e+00
 -1.54181850e+00 -4.55073500e+00 -4.72089434e+00 -7.40701914e+00
 -4.40171671e+00 -5.56267977e+00 -7.37157440e+00 -6.25999260e+00
 -2.07866144e+00 -2.21939254e+00 -3.33196640e+00 -1.09546244e+00]",Jens_Stoltenberg
"[-475.22226    121.21772    -68.6563      95.339645   -42.348373
   53.221073   -34.502724    11.43835     -9.403621   -12.220275
    2.2786882  -22.006203     7.531533   -21.250004     8.551555
  -18.526806    -6.060822   -11.341704   -10.727991    -4.279137
  -17.626314    -3.385086   -13.999014    -0.6073544  -10.482394
   -4.383863    -7.4319706   -3.359861    -3.2795832   -9.5552435
   -1.9942769   -8.047742    -0.8536613   -7.5396786   -1.6935543
   -4.552268    -2.3717432   -2.6864681   -4.8548098   -1.2737861]",Jens_Stoltenberg
"[-4.3214072e+02  8.1921791e+01 -1.1529042e+01  3.5146095e+01
 -3.1325705e+00  1.9011354e+01 -4.7930419e-01 -2.0782206e+00
 -1.1902608e+00 -5.9629302e+00  5.8102282e-03 -9.7497301e+00
 -4.8218112e+00 -1.3093170e+01 -6.8256221e+00 -9.4984121e+00
 -1.3358088e+01 -1.0345416e+01 -1.0762563e+01 -7.7544589e+00
 -1.2575726e+01 -6.6029863e+00 -8.8706484e+00 -6.7684255e+00
 -4.5079093e+00 -7.3821301e+00 -5.9028287e+00 -7.0214462e+00
 -2.6666434e+00 -5.3720469e+00 -5.2022424e+00 -4.5198956e+00
 -3.9209647e+00 -4.1429701e+00 -6.3332930e+00 -1.9962844e+00
 -3.8948929e+00 -4.2375646e+00 -4.1973271e+00 -3.2124252e+00]",Jens_Stoltenberg
"[-2.17424957e+02  8.69852219e+01 -5.50589561e+01  4.99654312e+01
 -2.58366413e+01  1.59332008e+01 -7.05977201e+00 -2.49125314e+00
 -9.38610172e+00 -1.36647377e+01  9.98098180e-02 -1.23731041e+01
 -3.53338480e+00 -2.16765461e+01 -6.50200665e-01 -6.56276512e+00
 -1.41620636e+01 -7.51628065e+00 -1.03730536e+01 -1.21913824e+01
 -1.63407822e+01 -7.80167341e-01 -1.15646687e+01 -6.72414684e+00
 -2.79890370e+00 -9.34999847e+00 -7.65217590e+00 -7.55569315e+00
 -4.20601606e+00 -1.00527725e+01 -6.04371071e+00 -5.96335936e+00
 -1.11123824e+00  1.77828789e+00 -3.89893442e-01  2.87897730e+00
  9.71447051e-01  6.63403332e-01 -6.46041930e-01  1.59948552e+00]",Jens_Stoltenberg
"[-226.7401     109.026665   -31.99795     70.31062    -25.173365
   14.781238   -16.581654    -1.374839   -19.47274    -19.031618
   -9.780165   -19.705364     3.5119147  -16.94529     -3.071995
  -17.981537   -10.704774   -10.863726   -11.862618    -4.1591935
  -14.243104    -2.739345   -14.383134    -4.8761106   -9.198339
   -9.07576     -4.3804393  -10.627608    -5.838405   -10.572408
   -6.5276484   -9.687847    -6.352073    -7.015773    -5.769275
    2.523906     4.751538     5.455469     2.2491949    3.2457888]",Jens_Stoltenberg
"[-3.41380585e+02  8.59100952e+01 -1.97965679e+01  6.67916565e+01
  5.38097668e+00  3.93250966e+00 -1.34937172e+01 -1.84092069e+00
 -8.06179428e+00 -2.38067150e+01 -9.37872505e+00 -9.34108162e+00
 -3.61399627e+00 -1.65058937e+01 -8.91895008e+00 -1.18070555e+01
 -1.75403709e+01 -1.45322695e+01 -1.21052456e+01 -6.66798067e+00
 -9.96076012e+00 -5.74032736e+00 -8.56520748e+00 -2.98571634e+00
 -5.00960588e+00 -7.53844261e+00  2.20685139e-01 -5.16769838e+00
 -5.63123751e+00 -3.54264688e+00 -3.82999063e+00 -4.46200514e+00
 -3.88621354e+00 -5.28254509e+00 -5.89207602e+00 -6.47702217e+00
 -6.54301643e+00 -8.87438178e-01  7.77847096e-02 -3.03126383e+00]",Jens_Stoltenberg
"[-4.7308255e+02  1.2849422e+02 -7.1125221e+01  8.9944107e+01
 -3.3750923e+01  5.2206264e+01 -2.9143322e+01  8.0083427e+00
 -9.0055075e+00 -8.1963778e+00  2.0142508e+00 -2.3462624e+01
  8.0679417e+00 -2.2352055e+01  3.4171894e-01 -1.7975136e+01
 -5.5139084e+00 -1.3107741e+01 -1.0646354e+01 -7.1223378e+00
 -2.0529881e+01  5.4026073e-01 -1.2484964e+01 -1.9111496e+00
 -1.0030818e+01 -6.2459517e+00 -4.9558554e+00 -1.4944770e+00
 -2.8660481e+00 -9.2531672e+00  4.8388919e-01 -5.1492887e+00
 -1.0653501e+00 -8.6810951e+00 -4.4072056e+00 -4.0121603e+00
 -2.0590675e+00 -4.0863237e+00 -4.6013856e+00  2.5516650e-01]",Jens_Stoltenberg
"[-5.3460846e+02  1.2683044e+02 -4.6587723e+01  8.6330719e+01
 -3.4815239e+01  5.5597851e+01 -2.9877943e+01  1.4172097e+01
 -6.6909289e+00 -3.8377693e+00  6.8035707e+00 -2.0438860e+01
  6.8565640e+00 -2.3805052e+01  4.1412063e+00 -1.9442324e+01
 -6.9157186e+00 -1.3416871e+01 -1.0581674e+01 -4.9433093e+00
 -1.8096901e+01 -1.5618173e+00 -1.5340560e+01 -1.1818795e+00
 -1.1104046e+01 -5.3803749e+00 -6.5158329e+00 -4.3647609e+00
 -1.0242091e+00 -8.1287842e+00 -2.6411650e+00 -6.7393055e+00
 -2.7484947e-01 -8.6414995e+00 -2.0665996e+00 -5.4723873e+00
 -3.1885543e+00 -2.4843602e+00 -5.8912425e+00 -7.0610100e-01]",Jens_Stoltenberg
"[-1.5997552e+02  6.3726658e+01 -6.8951569e+01  1.0264270e+02
 -1.7908545e+01  2.7372862e+01 -2.7820772e+01  4.1401520e+00
 -1.4390133e+01 -1.5772611e+01 -1.0498943e+01 -2.5603224e+01
  5.0721784e+00 -2.5091036e+01  1.4317896e+00 -1.2841031e+01
 -9.4074850e+00 -9.0615759e+00 -7.4667239e+00 -4.6988358e+00
 -1.3496779e+01 -1.2884344e-01 -1.3936187e+01 -3.0496397e+00
 -1.1447198e+01 -6.5601087e+00 -7.0756130e+00 -9.4596977e+00
 -5.0766158e+00 -9.3196182e+00 -2.1007457e+00 -6.0124221e+00
  4.1132054e+00  4.3022969e-01  5.6773953e+00  5.3350825e+00
  1.6950184e+00  4.0566955e+00 -7.0812404e-01  2.9854467e+00]",Jens_Stoltenberg
"[-166.86755    113.8086     -56.222244    75.85737    -24.1315
   21.240223   -20.93558     -7.743179   -10.86179    -26.50385
   -0.8692438  -23.95189     -7.4490585  -14.882166    -6.383705
   -6.1509185  -12.197659   -14.35365     -8.251551    -8.130746
  -16.37447     -3.0552645  -14.660504    -7.3246503   -7.969388
  -10.643442    -3.3582635   -8.885206    -4.5039854   -5.822165
   -8.230042    -9.221509    -6.28009     -8.71838     -7.332054
   -3.7342303   -1.0065242    2.3902369    3.2241502    6.2078385]",Jens_Stoltenberg
"[-219.28995     111.70349     -39.71484      62.531944    -31.098303
   17.324903    -16.86622      -7.464821     -6.3238087   -21.620424
   -6.0448704   -11.293954     -4.361971    -13.436135     -5.4466496
  -19.180773    -10.479084    -15.363599     -9.955216     -2.290193
  -14.681191     -2.3951645   -12.406153     -5.6787887    -7.5214767
   -7.4823604    -2.3158386    -7.672664     -4.565561     -7.4889755
   -8.177268     -9.906235     -3.9316       -5.4738083    -5.8023934
   -3.4024253    -2.9464486    -1.0847117    -0.92900467    2.9124868 ]",Jens_Stoltenberg
"[-4.5396262e+02  1.1452151e+02 -6.0963612e+01  8.2350716e+01
 -4.7738590e+01  5.2109348e+01 -3.6130451e+01  9.0361261e+00
 -6.6407962e+00 -1.1164913e+01  8.3652811e+00 -1.6014717e+01
  1.2828118e+01 -1.9694689e+01 -3.3591871e+00 -2.2070665e+01
 -6.5669389e+00 -1.6952339e+01 -1.2396194e+01 -4.9247804e+00
 -1.5699540e+01  1.7399325e+00 -1.7510424e+01 -1.7679232e+00
 -8.7924776e+00 -6.0102448e+00 -6.4356613e+00 -6.7230878e+00
 -2.8868690e+00 -8.1790962e+00 -2.2000291e+00 -7.1472702e+00
 -1.2096864e+00 -7.0343962e+00 -1.7572767e+00 -4.4411993e+00
 -2.7558522e+00 -1.9418813e+00 -5.5936012e+00 -2.2507066e-01]",Jens_Stoltenberg
"[-2.9018732e+02  6.2313110e+01 -2.9625038e+01  7.3754730e+01
  1.3574711e+00  1.4073669e+01 -1.3555907e+01 -2.1369159e-02
 -3.7197311e+00 -2.0805952e+01 -9.9862499e+00 -1.2528876e+01
 -5.6000075e+00 -1.6390902e+01 -5.2119479e+00 -1.3619987e+01
 -1.3114297e+01 -9.7834778e+00 -1.1152114e+01 -7.6647615e+00
 -1.0793548e+01 -6.6841249e+00 -1.1404773e+01 -4.4148555e+00
 -7.8407001e+00 -5.7996721e+00  1.4017111e-01 -3.0735667e+00
 -1.8568535e+00 -5.0760932e+00 -2.5460191e+00 -3.7961180e+00
 -5.2190547e+00 -3.5532165e+00 -1.9296002e+00 -4.0246716e+00
 -3.2539871e+00 -5.4805541e-01 -1.1909140e+00  3.0911228e-01]",Jens_Stoltenberg
"[-2.34923599e+02  1.10926994e+02 -2.19691257e+01  7.72534714e+01
 -2.30768204e+01  2.32108593e+00 -1.31232872e+01 -3.68574667e+00
 -1.22557430e+01 -1.27702236e+01 -7.20030642e+00 -1.99825211e+01
 -3.53958726e+00 -1.94533615e+01 -6.09800577e+00 -1.71024647e+01
 -9.14509201e+00 -5.02644825e+00 -1.45188293e+01 -4.15824318e+00
 -1.03129654e+01 -5.14989662e+00 -1.22427893e+01 -4.86223412e+00
 -4.63632917e+00 -5.81006241e+00 -2.46967769e+00 -9.37660408e+00
 -6.88860607e+00 -1.04186583e+01 -3.44417286e+00 -2.57237315e+00
 -2.77921581e+00  2.45691586e+00 -3.51774603e-01 -2.61541009e+00
 -1.28219330e+00 -1.36464858e+00 -3.46294093e+00 -1.51980007e-02]",Jens_Stoltenberg
"[-332.54822      85.764656    -25.885042     69.14086     -24.702288
   31.1337      -12.446081      3.689449     -3.8717768   -13.84754
   -2.6884985   -16.536955      5.0304465   -13.661834     -5.504066
  -17.942905    -10.790918     -9.730644    -12.955738     -7.322301
  -15.211285     -3.365475    -13.454263     -1.815559     -1.584283
   -5.032559     -4.708579     -8.61171      -3.3983917    -7.8370986
   -2.3019881    -2.572602     -0.39264268   -4.654694     -5.7915144
   -4.8979654    -4.104139      0.99356455   -2.6894808     0.48285386]",Jens_Stoltenberg
"[-461.35275     122.29406     -60.08141      88.86408     -43.326885
   53.445557    -31.652718      9.255367     -5.7226033    -7.793129
    2.6518762   -18.65252       8.232826    -24.375465      2.6257975
  -18.509352     -3.9672112   -13.232723    -12.00398      -3.828225
  -15.615335      0.74425787  -14.704389     -2.5749831    -9.983768
   -4.5705013    -6.7653017    -4.802898     -3.4793472    -7.783661
   -0.7171575    -9.975808     -4.1717153    -7.930194     -1.6772103
   -5.0766454    -3.8014586    -3.575608     -6.2618785    -1.8385097 ]",Jens_Stoltenberg
"[-200.7389      76.14769    -48.195297    93.05402     -4.3738294
   18.351376   -17.68117     -5.097537   -10.352178   -18.298384
  -13.311075   -24.674164    -5.1335483  -17.652967    -1.3375381
  -12.548025   -11.737728    -9.637203    -6.966232    -5.818188
  -15.728695    -2.2410853   -8.944401    -2.2267172   -7.82951
   -3.124442     2.408451    -7.164624    -0.9839985   -3.6923537
   -1.507645    -1.0257564   -1.7867087   -2.7061415   -1.7154444
   -1.9263207   -1.5775174   -1.4733894   -3.705886    -1.0970315]",Jens_Stoltenberg
"[-3.1991702e+02  1.1026989e+02 -2.6785109e+01  4.0142765e+01
 -2.3429047e+01  2.6146812e+00 -1.7190627e+00 -5.6964641e+00
 -7.9650097e+00 -8.6184711e+00 -9.8793478e+00 -2.5917627e+01
 -4.3120584e+00 -9.9352493e+00 -7.6451702e+00 -1.0419673e+01
 -1.6525450e+01 -1.5956110e+01 -1.3110031e+01 -3.7817099e+00
 -9.7023020e+00 -1.5585858e+00 -4.5113263e+00 -4.0382228e+00
  5.5871260e-01 -3.0526466e+00 -3.0689497e+00 -7.6426768e+00
 -5.0393910e+00 -7.4179749e+00 -5.8702145e+00 -2.4862683e+00
 -2.5672903e+00 -3.5195189e+00 -5.0699544e+00 -3.7542493e+00
 -3.9106150e+00  1.2655952e+00  2.7858207e-01 -1.2882953e+00]",Jens_Stoltenberg
"[-3.0400171e+02  1.4770886e+02 -8.5218643e+01  6.8613983e+01
 -4.6538883e+01  2.9813234e+01 -2.9949358e+01  2.2984986e+00
 -1.3434093e+01 -4.6834106e+00  6.2640228e+00 -2.1501278e+01
  3.2691011e-01 -2.5354988e+01  2.7970011e+00 -2.0903641e+01
 -1.3151366e+01 -1.6233896e+01 -1.5048394e+01 -7.0124469e+00
 -1.7293306e+01 -1.5474299e+00 -1.2292675e+01 -5.2954352e-01
 -7.2589259e+00 -1.5065693e+00 -5.9262743e+00 -8.1401749e+00
 -2.8661335e+00 -5.8062835e+00  7.8362638e-01 -5.4700603e+00
 -2.9152198e+00 -1.0672548e+01 -2.1259320e+00 -3.7884271e+00
 -5.6905117e+00 -2.7466760e+00 -3.7997847e+00 -2.2377513e-01]",Jens_Stoltenberg
